scene,SHIELD_OBSTACLE_SOURCE,collision_at_fault,collision_rear,offroad,dist_m,gt_dist_m,progress,score,status
clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,gt,0.0,0.0,0.0,78.6,73.8,1.0,1.0,pass
clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,camera,0.0,0.0,0.0,78.8,73.8,1.0,1.0,pass
clipgt-023b7fcc-671c-40e3-9bd2-c66b0b073fbc,gt,0.0,0.0,0.0,103.8,106.9,0.969,1.0,pass
clipgt-023b7fcc-671c-40e3-9bd2-c66b0b073fbc,camera,0.0,0.0,0.0,108.9,106.9,1.0,1.0,pass
clipgt-0245ff75-aa3f-46b7-ba87-16a7afb841af,gt,0.3333333333333333,0.6666666666666666,0.0,69.5,169.8,0.409,0.511,pass
clipgt-0245ff75-aa3f-46b7-ba87-16a7afb841af,camera,0.0,1.0,0.0,77.5,169.8,0.456,0.568,pass
clipgt-026d6a39-bd8f-4175-bc61-fe50ed0403a3,gt,0.0,0.0,0.0,94.7,107.5,0.879,1.0,pass
clipgt-026d6a39-bd8f-4175-bc61-fe50ed0403a3,camera,0.0,0.0,0.0,98.7,107.5,0.917,1.0,pass
clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9,gt,0.0,0.0,0.3333333333333333,167.8,162.5,1.0,0.0,fail
clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9,camera,0.0,0.0,0.0,170.7,162.5,1.0,1.0,pass
clipgt-02eadd92-02f1-46d8-86fe-a9e338fed0b6,gt,0.3333333333333333,0.0,0.0,76.8,93.9,0.808,1.0,pass
clipgt-02eadd92-02f1-46d8-86fe-a9e338fed0b6,camera,0.0,0.0,0.0,94.4,93.9,0.963,1.0,pass
clipgt-032b6f21-6799-4ad8-8712-0405f087ac4a,gt,0.0,0.3333333333333333,0.0,186.7,214.4,0.87,1.0,pass
clipgt-032b6f21-6799-4ad8-8712-0405f087ac4a,camera,0.0,0.0,0.0,127.6,214.4,0.593,0.779,pass
clipgt-04394343-92f3-409c-9695-e7cd5397fa02,gt,0.0,0.0,0.0,146.5,299.2,0.489,0.654,pass
clipgt-04394343-92f3-409c-9695-e7cd5397fa02,camera,0.0,0.0,0.0,113.1,299.2,0.376,0.337,pass
