arm,test_shield,seed,train_collisions,return,collision_rate,goal_rate
unshielded,True,0,342,7.734529013256483,0.0,0.0
unshielded,False,0,342,7.771839912080685,0.0,0.0
unshielded,True,1,397,7.465497660692225,0.0,0.0
unshielded,False,1,397,4.951735464834557,0.15,0.0
unshielded,True,2,277,5.828795295365686,0.0,0.0
unshielded,False,2,277,5.723647519221518,0.01,0.0
unshielded,True,3,359,6.5891547619501845,0.0,0.0
unshielded,False,3,359,6.037148808627543,0.05,0.0
unshielded,True,4,304,7.433013520363077,0.0,0.0
unshielded,False,4,304,3.4485636831981457,0.26,0.0
shielded,True,0,0,10.648244867053009,0.0,0.02
shielded,False,0,0,-4.912434949662359,0.91,0.0
shielded,True,1,0,10.370058048162562,0.0,0.0
shielded,False,1,0,-5.28612696984821,0.86,0.0
shielded,True,2,0,11.540324689929129,0.0,0.03
shielded,False,2,0,-5.3004307547706855,0.92,0.0
shielded,True,3,0,10.127506355836006,0.0,0.02
shielded,False,3,0,-6.9584634385072,0.99,0.0
shielded,True,4,0,9.906483240569619,0.0,0.01
shielded,False,4,0,-7.710745056508524,1.0,0.0
teacher,True,0,0,8.697702619821701,0.0,0.0
teacher,False,0,0,5.1185944829278025,0.22,0.0
teacher,True,1,0,6.990673546277519,0.0,0.0
teacher,False,1,0,5.96293056132536,0.08,0.0
teacher,True,2,0,9.013146673534498,0.0,0.0
teacher,False,2,0,-2.2267220248429695,0.62,0.0
teacher,True,3,0,15.309106086834316,0.0,0.05
teacher,False,3,0,1.0459326207155262,0.71,0.01
teacher,True,4,0,11.556368042452025,0.0,0.02
teacher,False,4,0,-2.3881868995659965,0.84,0.0
