train,test_shield,seed,return,collision_rate,goal_rate
shielded,True,0,10.648244867053009,0.0,0.02
shielded,False,0,-4.912434949662359,0.91,0.0
shielded,True,1,10.370058048162562,0.0,0.0
shielded,False,1,-5.28612696984821,0.86,0.0
shielded,True,2,11.540324689929129,0.0,0.03
shielded,False,2,-5.3004307547706855,0.92,0.0
shielded,True,3,10.127506355836006,0.0,0.02
shielded,False,3,-6.9584634385072,0.99,0.0
shielded,True,4,9.906483240569619,0.0,0.01
shielded,False,4,-7.710745056508524,1.0,0.0
unshielded,True,0,7.734529013256483,0.0,0.0
unshielded,False,0,7.771839912080685,0.0,0.0
unshielded,True,1,7.465497660692225,0.0,0.0
unshielded,False,1,4.951735464834557,0.15,0.0
unshielded,True,2,5.828795295365686,0.0,0.0
unshielded,False,2,5.723647519221518,0.01,0.0
unshielded,True,3,6.5891547619501845,0.0,0.0
unshielded,False,3,6.037148808627543,0.05,0.0
unshielded,True,4,7.433013520363077,0.0,0.0
unshielded,False,4,3.4485636831981457,0.26,0.0
