scene,collision_at_fault,offroad,progress,dist_m,gt_dist_m,status
clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,1.0,0.0,0.596,44.0,73.8,fail
clipgt-023b7fcc-671c-40e3-9bd2-c66b0b073fbc,0.0,1.0,0.777,83.5,106.9,fail
clipgt-0245ff75-aa3f-46b7-ba87-16a7afb841af,1.0,0.0,0.356,63.0,169.8,fail
clipgt-026d6a39-bd8f-4175-bc61-fe50ed0403a3,0.0,0.0,0.953,102.6,107.5,pass
clipgt-02e075b9-fd24-426b-971b-7cfcb2074cc9,0.0,0.0,0.42,69.1,162.5,pass
clipgt-02eadd92-02f1-46d8-86fe-a9e338fed0b6,1.0,0.0,0.928,87.7,93.9,fail
clipgt-032b6f21-6799-4ad8-8712-0405f087ac4a,0.0,0.0,0.51,109.9,214.4,pass
clipgt-04394343-92f3-409c-9695-e7cd5397fa02,0.0,0.0,0.273,82.5,299.2,pass
clipgt-04749bb9-9b37-495b-bed0-77f0e33ac7da,0.0,0.0,0.331,152.6,460.2,pass
clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa,1.0,0.0,0.381,45.7,119.7,fail
clipgt-0499fb41-122d-4180-83af-f954a9974d3b,1.0,0.0,0.432,119.5,276.2,fail
clipgt-04db1bb2-90fe-47a7-9d09-27d020c618d4,0.0,1.0,0.652,44.5,68.3,fail
clipgt-054b5901-fdcb-4146-b125-eb2bb333cf02,0.0,0.0,0.892,118.9,132.3,pass
clipgt-05a1d902-b975-4d11-a9ed-e6bfc774577f,0.0,1.0,0.395,74.6,188.6,fail
clipgt-05bb8212-63e1-40a8-b4fc-3142c0e94646,0.0,0.0,0.629,121.0,191.9,pass
clipgt-05e74bef-0afa-468e-b679-b7f14079be30,0.0,0.0,0.832,143.8,173.1,pass
clipgt-05ecbbf5-d88c-41b7-97f2-f4ac2615a8c9,0.0,0.0,1.0,124.8,117.5,pass
clipgt-05f35348-9de0-4f68-ac65-f31316dbb59e,0.0,1.0,0.224,134.4,598.3,fail
clipgt-060131e7-ee72-477c-89da-083e0b446566,0.0,0.0,0.78,159.2,203.9,pass
clipgt-065dcac9-ee67-4434-a835-c6b816c88e48,0.0,0.0,1.0,165.3,162.6,pass
