scene,arm,at_fault,at_fault_std,offroad,progress,progress_std,mean_obstacles,status0
clipgt-05ecbbf5-d88c-41b7-97f2-f4ac2615a8c9,gt,0.0,0.0,0.0,0.33,0.082,17.8,pass
clipgt-05ecbbf5-d88c-41b7-97f2-f4ac2615a8c9,camera,0.0,0.0,0.0,0.399,0.046,17.3,pass
clipgt-065dcac9-ee67-4434-a835-c6b816c88e48,gt,0.0,0.0,1.0,0.461,0.007,84.5,fail
clipgt-065dcac9-ee67-4434-a835-c6b816c88e48,camera,0.0,0.0,0.2,0.429,0.016,13.2,pass
clipgt-026d6a39-bd8f-4175-bc61-fe50ed0403a3,gt,0.0,0.0,0.0,0.941,0.059,19.8,pass
clipgt-026d6a39-bd8f-4175-bc61-fe50ed0403a3,camera,0.0,0.0,0.0,0.943,0.065,7.1,pass
clipgt-054b5901-fdcb-4146-b125-eb2bb333cf02,gt,0.0,0.0,1.0,0.811,0.001,57.7,fail
clipgt-054b5901-fdcb-4146-b125-eb2bb333cf02,camera,0.0,0.0,1.0,0.808,0.003,23.1,fail
clipgt-05e74bef-0afa-468e-b679-b7f14079be30,gt,0.0,0.0,0.0,0.829,0.1,90.2,pass
clipgt-05e74bef-0afa-468e-b679-b7f14079be30,camera,0.2,0.447,0.0,0.729,0.117,35.4,fail
clipgt-02eadd92-02f1-46d8-86fe-a9e338fed0b6,gt,0.0,0.0,0.0,0.703,0.097,87.9,pass
clipgt-02eadd92-02f1-46d8-86fe-a9e338fed0b6,camera,0.0,0.0,0.2,0.807,0.079,17.6,pass
clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,gt,0.0,0.0,0.0,1.0,0.0,78.2,pass
clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,camera,0.6,0.548,0.0,0.47,0.008,80.6,fail
clipgt-0499fb41-122d-4180-83af-f954a9974d3b,gt,0.0,0.0,1.0,0.408,0.015,13.7,fail
clipgt-0499fb41-122d-4180-83af-f954a9974d3b,camera,0.0,0.0,1.0,0.404,0.039,45.9,fail
clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa,gt,0.0,0.0,0.0,0.379,0.004,250.3,pass
clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa,camera,0.8,0.447,0.0,0.653,0.035,40.8,fail
clipgt-0245ff75-aa3f-46b7-ba87-16a7afb841af,gt,0.6,0.548,0.0,0.315,0.147,133.4,pass
clipgt-0245ff75-aa3f-46b7-ba87-16a7afb841af,camera,0.8,0.447,0.0,0.32,0.042,19.2,fail
