scene,arm,at_fault,at_fault_std,offroad,progress,progress_std,mean_obstacles,status0
clipgt-05ecbbf5-d88c-41b7-97f2-f4ac2615a8c9,front,0.0,0.0,0.0,0.535,0.425,202.8,pass
clipgt-05ecbbf5-d88c-41b7-97f2-f4ac2615a8c9,surround_gated,0.0,0.0,0.0,0.457,0.044,68.9,pass
clipgt-065dcac9-ee67-4434-a835-c6b816c88e48,front,0.0,0.0,0.0,1.0,0.0,476.3,pass
clipgt-065dcac9-ee67-4434-a835-c6b816c88e48,surround_gated,0.0,0.0,0.0,0.433,0.019,59.9,pass
clipgt-026d6a39-bd8f-4175-bc61-fe50ed0403a3,front,0.0,0.0,0.0,0.849,0.128,254.6,pass
clipgt-026d6a39-bd8f-4175-bc61-fe50ed0403a3,surround_gated,1.0,0.0,0.0,0.464,0.0,113.1,fail
clipgt-054b5901-fdcb-4146-b125-eb2bb333cf02,front,0.0,0.0,0.8,0.813,0.052,229.6,fail
clipgt-054b5901-fdcb-4146-b125-eb2bb333cf02,surround_gated,0.0,0.0,1.0,0.809,0.003,72.4,fail
clipgt-05e74bef-0afa-468e-b679-b7f14079be30,front,0.0,0.0,0.0,0.82,0.018,279.0,pass
clipgt-05e74bef-0afa-468e-b679-b7f14079be30,surround_gated,0.0,0.0,0.0,0.77,0.025,98.6,pass
clipgt-02eadd92-02f1-46d8-86fe-a9e338fed0b6,front,0.4,0.548,0.4,0.688,0.2,286.4,pass
clipgt-02eadd92-02f1-46d8-86fe-a9e338fed0b6,surround_gated,0.0,0.0,0.4,0.755,0.087,61.5,fail
clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,front,0.0,0.0,0.0,1.0,0.0,506.4,pass
clipgt-01d503d4-449b-46fc-8d78-9085e70d3554,surround_gated,0.8,0.447,0.0,0.473,0.008,110.2,fail
clipgt-0499fb41-122d-4180-83af-f954a9974d3b,front,0.6,0.548,0.2,0.438,0.005,193.3,pass
clipgt-0499fb41-122d-4180-83af-f954a9974d3b,surround_gated,0.0,0.0,1.0,0.37,0.046,66.0,fail
clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa,front,1.0,0.0,0.0,0.384,0.003,646.7,fail
clipgt-048b974e-1546-488a-b8f9-d32bff77f5aa,surround_gated,0.6,0.548,0.0,0.554,0.145,117.9,fail
clipgt-0245ff75-aa3f-46b7-ba87-16a7afb841af,front,0.0,0.0,0.0,0.456,0.001,301.4,pass
clipgt-0245ff75-aa3f-46b7-ba87-16a7afb841af,surround_gated,1.0,0.0,0.0,0.321,0.041,47.5,fail
